Positive Melanoma Markers	Positive Brain melanoma Markers	All Distinguishing Markers
fabp3	eno1a	icn
icn	calm1b	fabp3
rab2a	hbae5	npm1a
krt8	hbbe2	btg1
eef1db	zgc:175088	ptmaa
mrpl12	gapdhs	pnrc2
hmgb2b	tpi1b	sec61g
snrpd1	ldhba	gpx1a
cbx3a	si:dkeyp-27c8.2	mrpl12
npm1a	cycsb	pfn1
sem1	eno3	krt8
krt18b	pgk1	rab2a
psmb2	gpia	mycn
tuba8l3	kars1	phlda2
phlda2	psat1	rps18
ddx21	pcbd1	fth1a
gtpbp4	abce1	tuba8l4
eif3i	atp5pd	si:ch211-250g4.3
eef1da	farsa	snrpd1
cnbpa	atp5mc1	si:ch211-222l21.1
uqcrb	acp1	arhgdig
rps18	nars1	rpl3
mycn	pgam1a	rpl5a
mhc1uba	hars	rps17
dnajc1	hspe1	tuba8l3
atp5if1a	cox17	cahz
chd7	dct	alas2
tcp1	yars1	rpl5b
rpl5a	atp5f1d	crestin
pax3a	cth	rpl23a
stmn1a	c1qbp	sat1a.2
crestin	vdac2	abcf1
atp5pd	fabp7a	psmb2
rdh8a	rag1	eef1db
psmb6	igfbp1a	eef2b
tfap2e	pkma	arpc1b
psmb4	eif2b2	nme2b.1
rpl23a	got2b	si:ch211-103n10.5
si:rp71-45k5.4	reep5	rac2
abcf1	pvalb5	crip1
nme2b.1	rtcb	chd7
psmb1	hbae1.3	rps6
pno1	tubb2b	cnbpa
snrpg	idh2	rdh8a
rpl15	ddost	rpl15
calm2a	prdx5	coro1a
si:dkey-33c12.4	mpc1	rps26
ptges3b	si:dkey-44g23.5	srgn
pfdn4	zgc:66313	si:dkey-16p21.8
ywhaz	ndrg1a	rpl34
si:ch211-288g17.3	chchd10	rps3
elocb	rida	rpl4
dbi	epd	hemgn
emp3b	ppa1b	rpl36
cct6a	ccr9b	pax3a
pmp22a	bcl11ba	ak1
ilf2	pmt	rps4x
ivns1abpa	rrm2	rack1
pleca	sars1	laptm5
pcbd1	p4ha1b	naca
sox4a.1	ckbb	rps11
sox10	aldocb	rpl7a
ssr2	ociad2	rplp2l
psma3	lck	rpl31
nudc	dlst	rpl35
ak2	hbbe1.1	RPS17
psmd3	tuba1b	uba52
id1	sox12	eef1a1l1
psma6b	naa20	rps7
ndufs6	zgc:194312	rpl17
naca	phgdh	rps27.1
eif6	hmgn2	rps25
eef1a1l1	rab5if	rpl36a
dad1	bckdhbl	rpl35a
pa2g4b	sil1	rps10
eif4ebp1	bysl	rpl13a
mrpl36	p2rx1	rpl12
ndufs5	tomm20a	rpl18
prdx6	ldha	rpl7
nanos1	CU459186.2	rpl13
hdac1	cyc1	rps14
hypk	kctd4	rps24
mtbl	hmgb2a	rpl37.1
rpl35	mars1	rpl30
fxyd1	shmt1	rpl14
mitfa	stc2a	rps29
smim29	polr3k	rps21
adh5	pclaf	rpl39
zfhx3	mrps35	rps12
dkc1	gars1	rps5
C19H6orf62	ndufv1	rpl28
uba52	rasa4	rps19
csnk2b	zgc:110540	faua
rps27.1	rrm2.1	rpl11
zgc:91910	mat2al	rpl10
ppib	cks1b	si:dkey-151g10.6
